,OBJECTID,NAME,X,Y,Parish,Community,Buil_Value,Occupancy,Roof_type,Roof_shape,Constr_typ,Area,class,exposed,geom_id
1235,17084,,-61.3877,15.2977,St._Luke,Roseau,41066.5,Residential,Galvanized,V shape,Concrete,87.8897,1.0,100.0,17084
1236,17086,,-61.3882,15.2975,St._Luke,Roseau,78753.1,Residential,Galvanized,Bell shape,Concrete,56.759,1.0,100.0,17086
1237,17088,,-61.3882,15.2975,St._Luke,Roseau,131479.0,Commercial,Galvanized,V shape,Concrete,157.933,1.0,100.0,17088
1238,17089,Mountain_of_Fire_Miracles_Ministries_Solution_Center,-61.3884,15.2977,St._Luke,Roseau,195792.0,Church,Concrete,Flat shape,Concrete,326.32,1.0,100.0,17089
1239,17090,,-61.3882,15.2977,St._Luke,Roseau,196272.0,Commercial,Concrete,Flat shape,Concrete,235.762,1.0,100.0,17090
1240,17091,,-61.3886,15.298,St._Luke,Roseau,290108.0,Commercial,Concrete,Flat shape,Concrete,348.478,1.0,100.0,17091
1241,17093,,-61.3881,15.2976,St._Luke,Roseau,276674.0,Commercial,Concrete,Flat shape,Concrete,332.341,1.0,100.0,17093
1242,17097,,-61.3891,15.2988,St._Luke,Roseau,20306.0,Residential,Galvanized,Bell shape,Concrete,43.4585,1.0,100.0,17097
1243,17100,,-61.389,15.299,St._Luke,Roseau,29140.7,Residential,Galvanized,Bell shape,Concrete,62.3666,1.0,100.0,17100
1244,17130,,-61.389,15.2988,St._Luke,Roseau,54248.8,Residential,Galvanized,V shape,Wood,39.0982,1.0,100.0,17130
1245,17172,,-61.294,15.5477,St._Andrew,Marigot & Concord,96106.5,Commercial,Galvanized,V shape,Concrete,152.55,1.0,100.0,17172
1246,17532,,-61.3798,15.5926,St._Andrew,Anse De Mail,173815.0,Commercial,Concrete,Flat shape,Concrete,307.039,1.0,100.0,17532
1247,17858,,-61.4084,15.4046,St._Joseph,Warner,156493.0,Commercial,Concrete,Flat shape,Concrete,336.544,1.0,100.0,17858
1248,17859,,-61.4084,15.404,St._Joseph,Warner,219931.0,Commercial,Concrete,Flat shape,Concrete,472.97,2.0,100.0,17859
1249,17860,,-61.4084,15.4044,St._Joseph,Warner,95053.9,Commercial,Concrete,Flat shape,Concrete,204.417,2.0,100.0,17860
1250,17891,,-61.3783,15.2929,St._Luke,New Town,328045.0,Other,Concrete,Flat shape,Concrete,771.869,1.0,100.0,17891
1251,17899,,-61.3892,15.2991,St._Luke,Roseau,103012.0,Residential,Galvanized,Bell shape,Concrete,74.2429,1.0,100.0,17899
1252,17900,,-61.3891,15.2991,St._Luke,Roseau,75549.0,Residential,Galvanized,Bell shape,Concrete,54.4497,1.0,100.0,17900
1253,17906,,-61.3893,15.2995,St._Luke,Roseau,86838.9,Residential,Galvanized,V shape,Wood,104.311,1.0,100.0,17906
1254,17908,,-61.3892,15.2992,St._Luke,Roseau,151841.0,Commercial,Galvanized,V shape,Concrete,182.392,1.0,100.0,17908
1255,17912,,-61.3891,15.3,St._Luke,Roseau,31456.4,Residential,Galvanized,Bell shape,Concrete,67.3225,1.0,100.0,17912
1256,17913,,-61.3893,15.2998,St._Luke,Roseau,31709.9,Residential,Galvanized,V shape,Wood,22.854,1.0,100.0,17913
1257,17915,First_Domestic_Insurance_Company_Ltd.,-61.3891,15.2998,St._Luke,Roseau,33294.5,Govermental institute,Galvanized,V shape,Concrete,133.178,1.0,100.0,17915
1258,17917,,-61.3891,15.2996,St._Luke,Roseau,32469.0,Residential,Galvanized,Bell shape,Concrete,69.4899,1.0,100.0,17917
1259,17918,,-61.3892,15.2995,St._Luke,Roseau,97946.1,Residential,Galvanized,Bell shape,Concrete,70.592,1.0,100.0,17918
1260,17919,,-61.3892,15.2997,St._Luke,Roseau,103157.0,Residential,Galvanized,Bell shape,Concrete,74.3471,1.0,100.0,17919
1261,17924,,-61.3887,15.2999,St._Luke,Roseau,39581.8,Residential,Galvanized,V shape,Concrete,84.7122,1.0,100.0,17924
1262,17925,,-61.3886,15.3,St._Luke,Roseau,29577.8,Residential,Galvanized,Bell shape,Concrete,63.3021,1.0,100.0,17925
